,precision,recall,f1-score,support
T-shirt/top,0.736346516007533,0.782,0.7584869059165859,1000.0
Trouser,0.9742798353909465,0.947,0.960446247464503,1000.0
Pullover,0.7220447284345048,0.678,0.6993295513151109,1000.0
Dress,0.7502198768689534,0.853,0.798315395414132,1000.0
Coat,0.6234782608695653,0.717,0.6669767441860465,1000.0
Sandal,0.9330669330669331,0.934,0.9335332333833083,1000.0
Shirt,0.5364145658263305,0.383,0.4469078179696616,1000.0
Sneaker,0.9311111111111111,0.838,0.8821052631578947,1000.0
Bag,0.9297725024727992,0.94,0.9348582794629537,1000.0
Ankle boot,0.86983842010772,0.969,0.9167455061494797,1000.0
accuracy,0.8041,0.8041,0.8041,0.8041
macro avg,0.8006572750156398,0.8040999999999998,0.7997704944419676,10000.0
weighted avg,0.8006572750156397,0.8041,0.7997704944419676,10000.0
