,precision,recall,f1-score,support
T-shirt/top,0.789738430583501,0.785,0.7873620862587764,1000.0
Trouser,0.9958762886597938,0.966,0.9807106598984772,1000.0
Pullover,0.7912218268090154,0.667,0.7238198589256647,1000.0
Dress,0.8708708708708709,0.87,0.8704352176088044,1000.0
Coat,0.5941845764854614,0.94,0.7281177381874516,1000.0
Sandal,0.9657603222557906,0.959,0.9623682890115404,1000.0
Shirt,0.6267123287671232,0.366,0.4621212121212121,1000.0
Sneaker,0.9359756097560976,0.921,0.9284274193548387,1000.0
Bag,0.9510763209393346,0.972,0.9614243323442137,1000.0
Ankle boot,0.9358600583090378,0.963,0.9492360768851651,1000.0
accuracy,0.8409,0.8409,0.8409,0.8409
macro avg,0.8457276633436026,0.8408999999999999,0.8354022890596144,10000.0
weighted avg,0.8457276633436026,0.8409,0.8354022890596144,10000.0
